type,name,label::English,required,default,relevant,appearance,constraint,constraint_message::English,label::Arabic (ar),constraint_message::Arabic (ar),choice_filter,calculation,hint::English (en),hint::Arabic (ar),repeat_count
integer,informal_labour_male,7. Informal or irregular labour,yes,,,,.>=0 and .<= ${calcul_nb_over18_male},, ÇáÚãá ÛíÑ ÇáÑÓãí Ãæ ÛíÑ ÇáäÙÇãí,,,,,,
integer,employment_male_other,8. Other (please specify),yes,,,,.>=0 and .<= ${calcul_nb_over18_male},, ÛíÑ Ğáß (íÑÌì ÇáÊÍÏíÏ),,,,,,
end_group,,,,,,,,,,,,,,,
calculate,calcul_employment_profile_male,,,,,,,,,,,${gov_job_male}+${private_libya_job_male}+${private_foreign_job_male}+${ngo_libya_job_male}+${ngo_international_job_male}+${own_business_male}+${informal_labour_male}+${employment_male_other},,,
note,error_employment_male_profile,the total number exceeds the total number of male adults,yes,,${calcul_employment_profile_male} > ${calcul_nb_over18_male},,,,ÇáÚÏÏ ÇáÅÌãÇáí íÊÌÇæÒ ÇáÚÏÏ ÇáÅÌãÇáí ÇáĞßæÑ ááÈÇáÛíä ,,,,,,
text,employment_profile_male_ot,"If other sector, Please specify",yes,,${employment_male_other} > 0,,,,ÍÏÏ Åä ßäÊ ÇÎÊÑÊ ŞØÇÚ ÇÎÑ ,,,,,,
begin_group,employment_profile_female,"In total, how many female adults (aged 18 and over) in your household worked for the following types of institutions in the past 30 days?",yes,,${calcul_jobs_adults_nb}>0,field-list,,,"İí ÇáãÌãæÚ ¡ ãÇ åæ ÚÏÏ ÇáÇäÇË ÇáÈÇáÛÇÊ (ÇáÈÇáÛÇÊ ãä ÇáÚãÑ ÇáËÇãäÉ ÚÔÑ ÓäÉ İãÇ İæŞ) İí ÃÓÑÊß ÇááÇÊí ÊÚãáä İí ÇáÃäæÇÚ ÇáÊÇáíÉ ãä ÇáãÄÓÓÇÊ ÎáÇá ÇáËáÇËíä íæãğÇ ÇáãÇÖíÉ¿",,,,they should only answer for the job which they are most dependent  on for living,íÌÈ Ãä íÌíÈæÇ İŞØ Úä ÇáæÙíİÉ ÇáÊí íÚÊãÏæä ÚáíåÇ ÈÔßá ßÈíÑ ááÚíÔ,
integer,gov_job_female,1. Government or public sector,yes,,,,.>=0 and .<= ${calcul_nb_over18_female},, ÇáÍßæãÉ Ãæ ÇáŞØÇÚ ÇáÚÇã,,,,,,
integer,private_libya_job_female,2. Libyan-owned business (private sector),yes,,,,.>=0 and .<= ${calcul_nb_over18_female},, ÔÑßÇÊ áíÈíÉ (ÇáŞØÇÚ ÇáÎÇÕ),,,,,,
integer,private_foreign_job_female,3. Foreign-owned business (private sector),yes,,,,.>=0 and .<= ${calcul_nb_over18_female},,ÇáÔÑßÇÊ ÇáÇÌäÈíÉ (ÇáŞØÇÚ ÇáÎÇÕ),,,,,,
integer,ngo_libya_job_female,"4. Libyan non-profit sector (Libyan NGO, civil society organization, etc.)",yes,,,,.>=0 and .<= ${calcul_nb_over18_female},,"ÇáŞØÇÚ ÛíÑ ÇáÑÈÍí ÇááíÈí (ÇáãäÙãÇÊ ÛíÑ ÇáÍßæãíÉ ÇááíÈíÉ ¡ ãäÙãÇÊ ÇáãÌÊãÚ ÇáãÏäí ¡ ÅáÎ.)",,,,,,
integer,ngo_international_job_female,"5. International non-profit sector (international NGO, UN agency, etc.)",yes,,,,.>=0 and .<= ${calcul_nb_over18_female},," ÇáŞØÇÚ ÛíÑ ÇáÑÈÍí ÇáÚÇáãí (ÇáãäÙãÇÊ ÛíÑ ÇáÍßæãíÉ ÇáÏæáíÉ ¡ ææßÇáÇÊ ÇáÃãã ÇáãÊÍÏÉ ¡ ÅáÎ.)",,,,,,
integer,own_business_female,6. Own business or family business,yes,,,,.>=0 and .<= ${calcul_nb_over18_female},, ÇáÃÚãÇá ÇáÊÌÇÑíÉ ÇáÎÇÕÉ Ãæ ÇáÚÇÆáíÉ,,,,,,
integer,informal_labour_female,7. Informal or irregular labour,yes,,,,.>=0 and .<= ${calcul_nb_over18_female},, ÇáÚãá ÛíÑ ÇáÑÓãí Ãæ ÛíÑ ÇáäÙÇãí,,,,,,
integer,employment_female_other,8. Other (please specify),yes,,,,.>=0 and .<= ${calcul_nb_over18_female},, ÛíÑ Ğáß (íÑÌì ÇáÊÍÏíÏ),,,,,,
end_group,,,,,,,,,,,,,,,
calculate,calcul_employment_profile_female,,,,,,,,,,,${gov_job_female}+${private_libya_job_female}+${private_foreign_job_female}+${ngo_libya_job_female}+${ngo_international_job_female}+${own_business_female}+${informal_labour_female}+${employment_female_other},,,
note,error_employment_female_profile,the total number exceeds the total number of female adults,yes,,${calcul_employment_profile_female} > ${calcul_nb_over18_female},,,,"ÇáÚÏÏ ÇáÅÌãÇáí íÊÌÇæÒ ÇáÚÏÏ ÇáÅÌãÇáí ÇáÅäÇË ááÈÇáÛíä 
",,,,,,
text,employment_profile_female_ot,"If other sector, Please specify",yes,,${employment_female_other} > 0,,,,ÍÏÏ Åä ßäÊ ÇÎÊÑÊ ŞØÇÚ ÇÎÑ ,,,,,,
integer,unemployed_male_profile,"In total, how many male adults in your household did not work at all in the past 30 days?",yes,,,,. <= (${calcul_nb_over18_male} - ${calcul_employment_profile_male}),the sum of the adult male employed and the adult male unemployed exceeds the total adult male in the household,"İí ÇáãÌãæÚ ¡ ßã ÚÏÏ ÇáĞßæÑ ÇáÈÇáÛíä İí ãäÒáß áã íÚãá Úáì ÇáÅØáÇŞ ÎáÇá ËáÇËæä íæãğÇ ÇáãÇÖíÉ¿",ãÌãæÚ ÇáĞßæÑ İæŞ 18 ÓäÉ ÇáĞíä íÚãáæä æ ÇáÚÇØáæä Úä ÇáÚãá íİæŞ ÚÏÏ ÇáĞßæÑ ÇáÈÇáÛæä İí ÇáÇÓÑÉ ,,,,,
integer,unemployed_female_profile,"In total, how many female adults in your household did not work at all in the past 30 days?",yes,,,,. <= (${calcul_nb_over18_female} - ${calcul_employment_profile_female}),the sum of the adult female employed and the adult female unemployed exceeds the total adult female in the household,"İí ÇáãÌãæÚ ¡ ßã ÚÏÏ ÇáÇäÇË ÇáÈÇáÛÇÊ İí ãäÒáß áã íÚãáä Úáì ÇáÅØáÇŞ ÎáÇá ËáÇËæä íæãğÇ ÇáãÇÖíÉ¿",ãÌãæÚ ÇáÇäÇË İæŞ 18 ÓäÉ ÇáĞíä íÚãáæä æ ÇáÚÇØáæä Úä ÇáÚãá íİæŞ ÚÏÏ ÇáÇäÇË ÇáÈÇáÛÇÊ İí ÇáÇÓÑÉ ,,,,,
begin_group,income_source,Can you estimate your household's income (in LYD) over the last 30 days from each of the following sources? ,yes,,,field-list,,,ãÇ åæ ãŞÏÇÑ ÇáÏÎá ÇáĞí ÍÕáÊ Úáíå ÇÓÑÊß ãä åĞå ÇáãÕÇÏÑ ÎáÇá Çá ËáÇËæä íæãÇ ÇáãÇÖíÉ ÈÇáÏíäÇÑ ÇááíÈí ¿,,,,,,
integer,gov_salary,1. Government salary,yes,,${gov_job_female} >0 or ${gov_job_male}>0,,. >=0,," ÇáÑÇÊÈ ÇáÍßæãí
",,,,,,
integer,gov_social_benefits,2. Government social benefits of assistance (including pensions),yes,,,,. >=0,,ÇáİæÇÆÏ ÇáÇÌÊãÇÚíÉ ÇáÍßæãíÉ Ãæ ÇáãÓÇÚÏÉ:,,,,,,
integer,non_gov_salary,3. Non-government salaried work,yes,,${private_libya_job_female} >0 or ${private_libya_job_male} >0 or ${private_foreign_job_female} >0 or ${private_foreign_job_male} >0 or ${ngo_libya_job_female} >0 or ${ngo_libya_job_male} >0 or ${ngo_international_job_female} >0 or ${ngo_international_job_male} >0 or ${employment_female_other} >0 or ${employment_male_other} >0,,. >=0,,ÃÚãÇá ÛíÑ ÍßæãíÉ ÈÃÌÑ,,,,,,
integer,casual_labour,4. Casual or daily labour,yes,,${informal_labour_female} >0 or ${informal_labour_male} >0 ,,. >=0,, ÇáÚãá ÇáÚÑÖí Ãæ Çáíæãí:,,,,,,
integer,own_business_income,5. Income from own business or commerce,yes,,${own_business_female} >0 or ${own_business_male} >0 ,,. >=0,,ÇáÏÎá ãä ÇáÃÚãÇá ÇáÊÌÇÑíÉ ÇáÎÇÕÉ Ãæ ÇáÊÌÇÑÉ,,,,,,
integer,remittances,6. Remittances,yes,,,,. >=0,,ÇáÊÍæíáÇÊ,,,,,,
integer,family_support,7. Support from family and friends (not including remittances),yes,,,,. >=0,,ÏÚã ÇáÚÇÆáÉ / ÇáÃÕÏŞÇÁ :,,,,,,
integer,humanitarian_assistance,8. Humanitarian assistance,yes,,,,. >=0,, ÇáãÓÇÚÏÉ ÇáÅäÓÇäíÉ/ ÇáÊÈÑÚÇÊ ÇáÎíÑíÉ:,,,,,,
integer,zakat,9. Zakat or charitable donations (not formal humanitarian assistance),yes,,,,. >=0,,ÇáÒßÇÉ Ãæ ÇáÊÈÑÚÇÊ ÇáÎíÑíÉ (æáíÓ ÇáãÓÇÚÏÉ ÇáÅäÓÇäíÉ ÇáÑÓãíÉ),,,,,,
integer,income_other,10. Other (please specify),yes,,,,. >=0,,ÃÎÑì:,,,,,,
end_group,,,,,,,,,,,,,,,
text,income_source_other,"if other, please specify",yes,,${income_other} >0,,,,ÍÏÏ Åä ßäÊ ÇÎÊÑÊ ÛíÑ Ğáß,,,,,,
integer,income_received_in_cash,Approximately what percentage of your household's income over the last 30 days was received in cash (LYD)?,yes,,,,. >=0 and .<=100,,ÊŞÑíÈÇ ãÇ åí ÇáäÓÈÉ ÇáãÆæíÉ  ãä ÏÎá ÃÓÑÊß ÎáÇá ÇáËáÇËíä íæãğÇ ÇáÃÎíÑÉ ÇáÊí Êã ÇÓÊáÇãåÇ äŞÏğÇ (LYD)¿,,,,,,
select_one yes_no_dk_dwta,obtaining_cash_to_meet_needs,Did your household face any challenges obtaining enough money to meet its needs over the last 30 days?,yes,,,quick,,,åá æÇÌåÊ ÃÓÑÊß Ãí ÊÍÏíÇÊ İí ÇáÍÕæá Úáì ãÇ íßİí ãä ÇáãÇá áÊáÈíÉ ÇÍÊíÇÌÇÊåÇ ÎáÇá ÇáËáÇËíä íæãğÇ ÇáãÇÖíÉ¿,,,,,,
select_multiple obtaining_cash_challenges,obtaining_cash_challenges,If yes: What were the main challenges to obtaining enough money to meet your household's needs in the last 30 days?,yes,,${obtaining_cash_to_meet_needs} ='yes',,"not(selected(., 'dk')) and not(selected(., 'dwta')) or count-selected(.) = 1",,ÅĞÇ ßÇäÊ ÇáÅÌÇÈÉ ÈäÚã: ãÇ ßÇäÊ ÇáÊÍÏíÇÊ ÇáÑÆíÓíÉ ááÍÕæá Úáì ÇáÏÎá İí Çá ËáÇËæä íæãÇ ÇáãÇÖíÉ¿,,,,,ãÊÚÏÏ ÇáÎíÇÑÇÊ ,
text,obtaining_cash_challenges_other,"if other, please specify",yes,,"selected(${obtaining_cash_challenges},'other')",,,,ÍÏÏ Åä ßäÊ ÇÎÊÑÊ ÛíÑ Ğáß,,,,,,
select_one cash_withdraw,cash_withdraw,Did you personally withdraw any money from banks or ATMs in the last 30 days?,yes,,,quick,,,åá ŞãÊ ÔÎÕíÇ ÈÓÍÈ Ãí ÃãæÇá ãä ÇáÈäæß Ãæ ÃÌåÒÉ ÇáÕÑÇİ ÇáÂáí İí ËáÇËæä íæãğÇ ÇáãÇÖíÉ¿,,,,,,
select_one cash_withdraw_amount,cash_withdraw_amount,"How much money, in LYD, did you personally withdraw in total over the last 30 days?",yes,,${cash_withdraw} = 'yes',quick,,,ßã ÇÓÊØÚÊ Çä ÊÓÍÈ ÇáÃãæÇá ÈÇáÏíäÇÑ ÇááíÈí İí ÂÎÑ ËáÇËæä íæãÇ¿,,,,,,
begin_group,income_expenditure,"During the past 30 days, how much did your household spend, in LYD, on each of the following categories of items for domestic consumption? For each, please estimate the total amount spent by your household using all modalities (cash, credit, cheques, etc.).",yes,,,field-list,,,ßã ãä ÇáãÇá  ÃäİŞÊ ÃÓÑÊß Úáì ÇáÇÍÊíÇÌÇÊ ÇáÃÓÇÓíÉ ÇáÊÇáíÉ ÎáÇá ËáÇËæä íæãÇ ÇáãÇÖíÉ¿,,,,"Give your answers as % , the total should be 100%","ŞÏã ÇáÇÌÇÈÇÊ ÈÇáäÓÈÉ ÇáãÇÆæíÉ, Úáì ÇáãÌãæÚ Çä íßæä ãÓÇæ á 100 ÈÇáãÇÆÉ",
integer,expend_food,1. Food items,yes,,,,. >=0,,ÇáÛĞÇÁ:,,,,,,
integer,expend_housing,2. Rent,yes,,"selected(${occupancy_type},'rented_written_contract') or selected(${occupancy_type},'rented_verbal_agreement')",,. >=0,,"ÇáÅíÌÇÑ:
",,,,,,
integer,expend_water,3. Water (from all sources combined),yes,,,,. >=0,,"ÇáãíÇå (Úáì ÓÈíá ÇáãËÇá ãíÇå ÇáÔÈßÉ¡ÇáãÚÈÃÉ İí ÒÌÇÌÇÊ Ãæ ÇáãäŞæáÉ ):",,,,,,
integer,expend_nfi,"4. Non-food household items (hygiene items, blankets, lightbulbs, etc.)",yes,,,,. >=0,,"ÇáãæÇÏ ÇáÛíÑ ÛĞÇÆíÉ (ãæÇÏ ÇáäÙÇİÉ¡ ÇáÈØÇäíÇÊ ¡ ÇáãÕÇÈíÍ ¡ ÅáÎ)",,,,,,
integer,expend_utilities,5. Utilities (electricity and gas connections),yes,,,,. >=0,,ÇáãÑÇİŞ (ÊæÕíáÇÊ ÇáßåÑÈÇÁ æÇáÛÇÒ),,,,,,
integer,expend_fuel,"6. Fuel (for cooking, for vehicles, etc.)",yes,,,,. >=0,,"ÇáæŞæÏ (ááØåí ¡ ááãÑßÈÇÊ ¡ ÅáÎ)",,,,,,
integer,expand_health,"7. Health-related expenditures (healthcare, medicine, etc.)",yes,,,,. >=0,,"ÇáäİŞÇÊ ÇáãÊÚáŞÉ ÈÇáÕÍÉ (ÇáÑÚÇíÉ ÇáÕÍíÉ ¡ ÇáØÈ ¡ æãÇ Åáì Ğáß)",,,,,,
integer,expend_education,"8. Education-related expenditures (school fees, supplies, uniforms, etc.)",yes,,,,. >=0,,"ÇáäİŞÇÊ ÇáãÊÚáŞÉ ÈÇáÊÚáíã (ÇáÑÓæã ÇáãÏÑÓíÉ ¡ ÇááæÇÒã ¡ ÇáÒí ÇáãÏÑÓí ¡ ÅáÎ)",,,,,,
integer,expand_transportation,9. Transportation,yes,,,,. >=0,,ÇáäŞá ,,,,,,
integer,expand_assets,"10. Productive assets (items used to help generate income, such as sewing machines, tools, etc.)",yes,,,,. >=0,,"ÇáÃÕæá ÇáÅäÊÇÌíÉ (ÇáãæÇÏ ÇáãÓÊÎÏãÉ ááãÓÇÚÏÉ İí ÊæáíÏ ÇáÏÎá ¡ ãËá ãÇßíäÇÊ ÇáÎíÇØÉ ¡ æÇáÃÏæÇÊ ¡ æãÇ Åáì Ğáß)",,,,,,
integer,debt_payment,11. Debt repayment,yes,,,,. >=0,,ÓÏÇÏ ÇáÏíæä,,,,,,
integer,expand_other,12. All other expenditures (please specify),yes,,,,. >=0,,ÌãíÚ ÇáäİŞÇÊ ÇáÃÎÑì (íÑÌì ÊÍÏíÏåÇ),,,,,,
end_group,,,,,,,,,,,,,,,
text,income_expenditure_other,"if other expenditures, please specify what are they:",yes,,${expand_other} >0,,,,"Åä ßäÊ ÇÎÊÑÊ ÛíÑ Ğáß, ÍÏÏ äæÚ ÇáäİŞÇÊ ÇáÇÎÑì ",,,,,,
select_one payment_modality,payment_modality,What was the payment modality most commonly used by your household in the past 30 days?,yes,,,quick,,,ãÇ ØÑíŞÉ ÇáÏİÚ ÇáÃÓÇÓíÉ ( ÇáÃßËÑ ÇÓÊÚãÇáÇ)  İí ÇáËáÇËíä íæãÇ ÇáãÇÖíÉ¿,,,,,,
text,payment_modality_other,Other:,,,"selected(${payment_modality},'other')",,,,ÍÏÏ Åä ßäÊ ÇÎÊÑÊ ÛíÑ Ğáß,,,,,,
select_one yes_no_dk_dwta,access_market_place,Do you have access to a marketplace or grocery store in your mahalla or close to your mahalla?,yes,,,quick,,,åá ÊÓÊØíÚ ÇáæÕæá Åáì ÇáÓæŞ Çæ ãÍá ãæÇÏ ÛĞÇÆíÉ İí ãäØŞÊß Ãæİí ãäØŞÉ ŞÑíÈÉ ãäß¿,,,,,,
select_one time_accessgoods,time_accessgoods,For how long do you have to travel by car to get to the nearest marketplace or grocery store?,yes,,"not(selected(${access_market_place},'dk'))",quick,,,ßã ãä ÇáæŞÊ íÓÊÛÑŞ ÇáÓİÑ ÈÇáÓíÇÑÉ ááæÕæá Åáì ÃŞÑÈ ÓæŞ Ãæ ãÍá ãæÇÏ ÛĞÇÆíÉ¿,,,,,,
select_multiple barrier_marketplace,barrier_marketplace,"In the last 30 days, did you or anyone in your household face any barriers to consistently accessing marketplaces or grocery stores?",yes,,,,"not(selected(., 'dk')) and not(selected(., 'dwta')) and not(selected(., 'no_barrier')) and count-selected(.) <=3 or count-selected(.) = 1",some options can't be selected with other options,ÎáÇá ÇáËáÇËíä íæãğÇ ÇáãÇÖíÉ åá æÇÌåÊß ÇäÊ Çæ ÇÍÏ ÇİÑÇÏ ÇÓÑÊß ÚæÇÆŞ ÊãäÚßã ãä ÇáæÕæá Åáì ÇáÃÓæÇŞ Ãæ ãÍáÇÊ ãæÇÏ ÛĞÇÆíÉ  ÈÔßá ãÓÊãÑ ¿,ÈÚÖ ÇáÎíÇÑÇÊ áÇ íãßä ÇÎÊíÇÑåÇ ãÚ ÎíÇÑÇÊ ÃÎÑì,,,make sure to read all the answers possible otherwise people might not remember everything,ÊÇßÏ Çä ÊŞÑÇ ÌãíÚ ÇáÇíÌÇÈÇÊ ÇáããßäÉ áÇä ÇáÇÔÎÇÕ áä íÊĞßÑæÇ ßá ÔíÁ,
text,barrier_marketplace_other,Other: ,,,"selected(${barrier_marketplace},'other')",,,,ÛíÑåÇ,,,,,,
select_multiple barrier_marketitem,barrier_marketitem,"In the last 30 days, did you or anyone in your household face any barriers to regularly purchasing specific items on the market?",yes,,,,"not(selected(., 'dk')) and not(selected(., 'dwta')) and not(selected(., 'no_barrier_item')) and count-selected(.) <= 3 or count-selected(.) = 1",some options can't be selected with other options,"ÎáÇá ÇáËáÇËíä íæãğÇ ÇáãÇÖíÉ ¡ åá æÇÌåÊß ÃäÊ Ãæ Ãí ÔÎÕ İí ãäÒáß Ãí ÚæÇÆŞ áÔÑÇÁ ãæÇÏ ãÍÏÏÉ ÈÇäÊÙÇã İí ÇáÓæŞ¿",ÈÚÖ ÇáÎíÇÑÇÊ áÇ íãßä ÇÎÊíÇÑåÇ ãÚ ÎíÇÑÇÊ ÃÎÑì,,,make sure to read all the answers possible otherwise people might not remember everything,ÊÇßÏ Çä ÊŞÑÇ ÌãíÚ ÇáÇíÌÇÈÇÊ ÇáããßäÉ áÇä ÇáÇÔÎÇÕ áä íÊĞßÑæÇ ßá ÔíÁ,
text,barrier_marketitem_other,Other: ,,,"selected(${barrier_marketitem},'other')",,,,ÍÏÏ Åä ßäÊ ÇÎÊÑÊ ÛíÑ Ğáß,,,,,,
select_multiple barrier_marketitem_expensive,barrier_marketitem_expensive,"If ""Yes, some items are too expensive"":
Which items were too expensive to afford? (select category first, then list specific items)",yes,,"selected(${barrier_marketitem}, 'yes_expensive')",,,,"ÅĞÇ ßÇäÊ ÇáÅÌÇÈÉ ""äÚã ¡  ÈÚÖ ÇáÚäÇÕÑ ÛÇáíÉ ÌÏğÇ"":
ãÇ åí ÇáÚäÇÕÑ ÇáÊí ßÇäÊ ãßáİÉ ááÛÇíÉ¿ (ÍÏÏ ÇáİÆÉ ÃæáÇğ ¡ Ëã ÃÏÑÌ ÚäÇÕÑ ãÍÏÏÉ)",,,,multiple choice,ãÊÚÏÏ ÇáÎíÇÑÇÊ ,
begin_group,marketitem_expensive_detaills,Please specify the items that are expensive,yes,,,,,,íÑÌì ÊÍÏíÏ ÇáÚäÇÕÑ ÇáÈÇåÙÉ,,,,,,
text,food_expensive_details,"If food item,please specify:",,,"selected(${barrier_marketitem_expensive},'expensive_fi')",,,,"ÅĞÇ ßÇäÊ ÇáÚäÇÕÑ ÇáÛĞÇÆíÉ¡ íÑÌì ÊÍÏíÏ ",,,,,,
text,hygiene_expensive_details,"If Hygiene items, please specify",,,"selected(${barrier_marketitem_expensive},'expensive_hygiene')",,,,"ÅĞÇ ßÇäÊ ãæÇÏ ÇáäÙÇİÉ, íÑÌì ÊÍÏíÏ ",,,,,,
text,hh_item_expensive_details,"If household items, please specify",,,"selected(${barrier_marketitem_expensive},'expensive_hh_items')",,,,"ÅĞÇ ßÇäÊ ÇáÃÏæÇÊ ÇáãäÒáíÉ¡ íÑÌì ÊÍÏíÏ ",,,,,,
text,fuel_expensive_details,"If fuel, Please specify",,,"selected(${barrier_marketitem_expensive},'expensive_fuel')",,,,"ÅĞÇ ßÇä ÇáæŞæÏ¡ íÑÌì ÊÍÏíÏ ",,,,,,
text,water_expensive_details,"If water, Please specify",,,"selected(${barrier_marketitem_expensive},'expensive_water')",,,,"ÅĞÇ ßÇä ÇáãÇÁ¡ íÑÌì ÊÍÏíÏ ",,,,,,
text,medecine_expensive_details,"If medecine, please specify",,,"selected(${barrier_marketitem_expensive},'expensive_med')",,,,"ÅĞÇ ßÇäÊ ÇáÃÏæíÉ Ãæ ÇáãæÇÏ ĞÇÊ ÇáÕáÉ ÈÇáÕÍÉ¡ íÑÌì ÊÍÏíÏ ",,,,,,
text,barrier_marketitem_expensive_other,"if other, please specify",,,"selected(${barrier_marketitem_expensive},'other')",,,,ÍÏÏ Åä ßäÊ ÇÎÊÑÊ ÛíÑ Ğáß,,,,,,
end_group,,,,,,,,,,,,,,,
select_multiple barrier_marketitem_unavailable,barrier_marketitem_unavailable,"If ""Yes, some items are not available"":
Which items were not consistently available? (select category first, then list specific items)",yes,,"selected(${barrier_marketitem}, 'yes_unavailable')",,,,"ÅĞÇ ""äÚã ¡ ÈÚÖ ÇáÚäÇÕÑ ÛíÑ ãÊæİÑÉ"":
ãÇ åí ÇáÚäÇÕÑ ÇáÊí áã Êßä ãÊæİÑÉ ÈÇÓÊãÑÇÑ¿ (ÍÏÏ ÇáİÆÉ ÃæáÇğ ¡ Ëã ÃÏÑÌ ÚäÇÕÑ ãÍÏÏÉ)",,,,multiple choice,ãÊÚÏÏ ÇáÎíÇÑÇÊ ,
begin_group,marketitem_unavailable_detaills,Please specify the items that are unavailable,yes,,,,,,íÑÌì ÊÍÏíÏ ÇáÚäÇÕÑ ÛíÑ ãÊæİÑÉ,,,,,,
text,food_unavailable_details,"If food item,please specify:",,,"selected(${barrier_marketitem_unavailable},'unavailable_fi')",,,,"ÅĞÇ ßÇäÊ ÇáÚäÇÕÑ ÇáÛĞÇÆíÉ¡ íÑÌì ÊÍÏíÏ ",,,,,,
text,hygiene_unavailable_details,"If Hygiene items, please specify",,,"selected(${barrier_marketitem_unavailable},'unavailable_hygiene')",,,,"ÅĞÇ ßÇäÊ ãæÇÏ ÇáäÙÇİÉ, íÑÌì ÊÍÏíÏ ",,,,,,
text,hh_item_unavailable_details,"If household items, please specify",,,"selected(${barrier_marketitem_unavailable},'unavailable_hh_items')",,,,"ÅĞÇ ßÇäÊ ÇáÃÏæÇÊ ÇáãäÒáíÉ¡ íÑÌì ÊÍÏíÏ ",,,,,,
text,fuel_unavailable_details,"If fuel, Please specify",,,"selected(${barrier_marketitem_unavailable},'unavailable_fuel')",,,,"ÅĞÇ ßÇä ÇáæŞæÏ¡ íÑÌì ÊÍÏíÏ ",,,,,,
text,water_unavailable_details,"If water, Please specify",,,"selected(${barrier_marketitem_unavailable},'unavailable_water')",,,,"ÅĞÇ ßÇä ÇáãÇÁ¡ íÑÌì ÊÍÏíÏ ",,,,,,
text,medecine_unavailable_details,"If medecine, please specify",,,"selected(${barrier_marketitem_unavailable},'unavailable_med')",,,,"ÅĞÇ ßÇäÊ ÇáÃÏæíÉ Ãæ ÇáãæÇÏ ĞÇÊ ÇáÕáÉ ÈÇáÕÍÉ¡ íÑÌì ÊÍÏíÏ ",,,,,,
text,barrier_marketitem_unavailable_other,"if other, please specify",yes,,"selected(${barrier_marketitem_unavailable},'other')",,,,ÍÏÏ Åä ßäÊ ÇÎÊÑÊ ÛíÑ Ğáß,,,,,,
end_group,,,,,,,,,,,,,,,
select_multiple financial_provider,financial_provider,What types of financial service providers do you have access to in or around your mahalla?,yes,,,,"not(selected(., 'dk')) and not(selected(., 'dwta')) and count-selected(.) <= 3 or count-selected(.) = 1",some options can't be selected with other options,ãÇ åí  ÇáÎÏãÇÊ ÇáãÇáíÉ ÇáãÊæİÑÉ İí ãäØŞÊßã / İí ãßÇä ŞÑíÈ¿,ÈÚÖ ÇáÎíÇÑÇÊ áÇ íãßä ÇÎÊíÇÑåÇ ãÚ ÎíÇÑÇÊ ÃÎÑì,,,multiple choice,ãÊÚÏÏ ÇáÎíÇÑÇÊ ,
text,financial_provider_other,if other please specify,,,"selected(${financial_provider},'other')",,,,ÍÏÏ Åä ßäÊ ÇÎÊÑÊ ÛíÑ Ğáß,,,,,,
